tagId,tag
19,action
21,adaptation
22,adapted from:book
86,atmospheric
107,based on a book
121,beautiful scenery
128,betrayal
169,brutality
188,catastrophe
192,cerebral
195,chase
203,childhood
212,cinematography
220,clever
240,complex
258,corruption
270,criterion
275,cult classic
276,cult film
277,culture clash
292,death
299,destiny
302,dialogue
323,drama
324,dramatic
328,drinking
351,enigmatic
356,entirely dialogue
365,excellent script
368,existentialism
374,family
378,fantasy world
388,feel-good
389,fight scenes
396,first contact
415,fun movie
445,good
446,good acting
452,good soundtrack
464,great
465,great acting
468,great ending
469,great movie
472,greed
474,grindhouse
490,happy ending
493,harsh
536,imdb top 250
553,intense
554,interesting
585,justice
601,life & death
602,life philosophy
603,light
609,lone hero
610,loneliness
640,melancholic
646,mentor
691,narrated
719,not funny
726,nudity (full frontal - brief)
733,obsession
742,original
747,oscar (best actress)
750,oscar (best directing)
759,oscar (best supporting actress)
777,pg-13
787,plot
797,police investigation
801,pornography
807,predictable
829,quirky
844,redemption
845,reflective
846,relationships
850,revenge
867,runaway
897,secrets
911,sexy
933,so bad it's funny
936,social commentary
971,story
972,storytelling
982,stylized
992,suprisingly clever
999,suspense
1008,talky
1040,transformation
1051,twists & turns
1062,unlikely friendships
1064,unusual plot structure
1070,vengeance
1071,very funny
1073,very interesting
1084,violence
1085,violent
1090,visual
1091,visually appealing
1092,visually stunning
1104,weird
